a,b,15 roots, , , , , , , , , , , , , , , , , , , ,16 roots, , , , , , , , , , , , , , , , , , , 
-4.0,-4.0,3.7218625552021347,-0.2464338976077243, , , , , , , , , , , , , , , , , , ,3.740420668839156,-0.4798568878921905,-0.2801692597618856, , , , , , , , , , , , , , , , , 
-4.0,-3.9,3.6293810425624953,-0.24757746781423803, , , , , , , , , , , , , , , , , , ,3.6474793149630935,-0.4829694059112054,-0.27892170475699135, , , , , , , , , , , , , , , , , 
-4.0,-3.8,3.5369777133736693,-0.24875407074595002, , , , , , , , , , , , , , , , , , ,3.5546167122211623,-0.48620305770954336,-0.27766383415358753, , , , , , , , , , , , , , , , , 
-4.0,-3.7,3.4446677833380623,-0.24996553843744027, , , , , , , , , , , , , , , , , , ,3.46184818628973,-0.48957125637363746,-0.2763947864737129, , , , , , , , , , , , , , , , , 
-4.0,-3.6,3.3524698805330777,-0.251213858408562, , , , , , , , , , , , , , , , , , ,3.3691924996519376,-0.4930897130932904,-0.2751136699472958, , , , , , , , , , , , , , , , , 
-4.0,-3.5,3.260406901990431,-0.2525011919224408, , , , , , , , , , , , , , , , , , ,3.2766727141966356,-0.49677703149770086,-0.2738195582196759, , , , , , , , , , , , , , , , , 
-4.0,-3.4,3.1685071022557385,-0.2538298950505695, , , , , , , , , , , , , , , , , , ,3.1843172873685504,-0.5006555103691906,-0.27251148572667994, , , , , , , , , , , , , , , , , 
-4.0,-3.3,3.0768054777366247,-0.25520254307078866, , , , , , , , , , , , , , , , , , ,3.092161466075334,-0.504752250567425,-0.27118844266861014, , , , , , , , , , , , , , , , , 
-4.0,-3.2,2.985345526044005,-0.25662195888141826, , , , , , , , , , , , , , , , , , ,3.0002490580280945,-0.5091007181628964,-0.26984936951752225, , , , , , , , , , , , , , , , , 
-4.0,-3.1,2.8941814761437152,-0.2580912462505587, , , , , , , , , , , , , , , , , , ,2.90863467686507,-0.5137430134092187,-0.26849315097028065, , , , , , , , , , , , , , , , , 
-4.0,-3.0,2.803381100453456,-0.2596138289488163, , , , , , , , , , , , , , , , , , ,2.8173865727457876,-0.5187332722554433,-0.2671186092587765, , , , , , , , , , , , , , , , , 
-4.0,-2.9,2.7130292286602793,-0.26119349708370954, , , , , , , , , , , , , , , , , , ,2.7265901686661422,-0.5241429652161769,-0.265724496699156, , , , , , , , , , , , , , , , , 
-4.0,-2.8,2.6232320746434468,-0.26283446231775603, , , , , , , , , , , , , , , , , , ,2.636352414092924,-0.5300695445607538,-0.264309487356162, , , , , , , , , , , , , , , , , 
-4.0,-2.7,2.534122444139092,-0.2645414241417232, , , , , , , , , , , , , , , , , , ,2.546807023173176,-0.536651390770625,-0.2628721676623606, , , , , , , , , , , , , , , , , 
-4.0,-2.6,2.4458657818459497,-0.26631965002668656, , , , , , , , , , , , , , , , , , ,2.458120554712089,-0.5440956068768716,-0.26141102581153125, , , , , , , , , , , , , , , , , 
-4.0,-2.5,2.3586667990045873,-0.2681750731788096, , , , , , , , , , , , , , , , , , ,2.3704990715553538,-0.5527349350262258,-0.25992443970317575, , , , , , , , , , , , , , , , , 
-4.0,-2.4,2.2727760429607913,-0.2701144128614223, , , , , , , , , , , , , , , , , , ,2.284194734679954,-0.563160966256391,-0.25841066316955563, , , , , , , , , , , , , , , , , 
-4.0,-2.3,2.1884951869052416,-0.6398582751700543,-0.5622772946030641,-0.2721453240021108, , , , , , , , , , , , , , , , ,2.1995111004291807,-0.576604711798091,-0.2568678101621065, , , , , , , , , , , , , , , , , 
-4.0,-2.2,2.106179052695242,-0.6636552571428284,-0.547645567752056,-0.2742765852961126, , , , , , , , , , , , , , , , ,2.1168051207169696,-0.596458222303219,-0.25529383649684695, , , , , , , , , , , , , , , , , 
-4.0,-2.1,2.0262316116030554,-0.6858146852704534,-0.5364544887702848,-0.2765183386800197, , , , , , , , , , , , , , , , ,2.0364830770822278,-0.6392355687727086,-0.2536865186694092, , , , , , , , , , , , , , , , , 
-4.0,-2.0,1.9490928780352355,-0.7085037382862361,-0.526872735609442,-0.27888239846366003, , , , , , , , , , , , , , , , ,1.9589873546119954,-0.7031010112646277,-0.25204342912900385, , , , , , , , , , , , , , , , , 
-4.0,-1.9,1.875214417640406,-0.7324858754449173,-0.5182143795110139,-0.2813826566875729, , , , , , , , , , , , , , , , ,1.8847717817031877,-0.740194546971632,-0.2503619072505786, , , , , , , , , , , , , , , , , 
-4.0,-1.7999999999999998,1.8050237671614762,-0.757606536066691,-0.5101284615285303,-0.2840356241629294, , , , , , , , , , , , , , , , ,1.8142658582861917,-0.7693873806180598,-0.24863902504139945, , , , , , , , , , , , , , , , , 
-4.0,-1.7000000000000002,1.7388822558514956,-0.783015937331636,-0.5024009428403143,-0.28686116742588375, , , , , , , , , , , , , , , , ,1.7478324062810002,-0.7954065403434004,-0.24687154636224745, , , , , , , , , , , , , , , , , 
-4.0,-1.6,1.6770449177210196,-0.8078321218014373,-0.4948834010334905,-0.28988353634097075, , , , , , , , , , , , , , , , ,1.6857273781789663,-0.8196764075147256,-0.24505587809092244, , , , , , , , , , , , , , , , , 
-4.0,-1.5,1.6196327246419204,-0.8316245349108918,-0.48746081387003437,-0.2931328367114436, , , , , , , , , , , , , , , , ,1.628072079787483,-0.842734724919968,-0.24318801119333108, , , , , , , , , , , , , , , , , 
-4.0,-1.4,1.5666244523844313,-0.8543525449104548,-0.48003401372957377,-0.29664721001703054, , , , , , , , , , , , , , , , ,1.574845111103457,-0.8648273677040818,-0.24126344903511263, , , , , , , , , , , , , , , , , 
-4.0,-1.2999999999999998,1.5178691311965606,-0.8761411988096549,-0.4725078921001325,-0.3004761877343557, , , , , , , , , , , , , , , , ,1.5258949423446053,-0.8861073032401847,-0.23927711939574164, , , , , , , , , , , , , , , , , 
-4.0,-1.2000000000000002,1.473113682696434,-0.8971486481765216,-0.464781007653873,-0.3046861050825764, , , , , , , , , , , , , , , , ,1.4809676872657156,-0.9067002313574721,-0.23722326543507688, , , , , , , , , , , , , , , , , 
-4.0,-1.1,1.4320371824746658,-0.9175211019918392,-0.45673320692032315,-0.30936937728861963, , , , , , , , , , , , , , , , ,1.4397414858958317,-0.9267219039039518,-0.235095309145468, , , , , , , , , , , , , , , , , 
