a,b,15 roots, , , , , , , , , , , , , , , , , , , ,16 roots, , , , , , , , , , , , , , , , , , , 
-4.0,-4.0,3.7161298883758445,-0.6291259436805896,-0.6039558467302085,-0.2564599793434927, , , , , , , , , , , , , , , , ,3.734940623504401,-0.5368318757493442,-0.27719251863020894, , , , , , , , , , , , , , , , , 
-4.0,-3.9,3.6232269375030315,-0.6343190484398474,-0.5993226960409256,-0.25698032516214386, , , , , , , , , , , , , , , , ,3.641567407143806,-0.537963544889541,-0.27683061635537476, , , , , , , , , , , , , , , , , 
-4.0,-3.8,3.5303240857713547,-0.6385798664755447,-0.5956566799475745,-0.25751347555133064, , , , , , , , , , , , , , , , ,3.5481942908913444,-0.5391269238501175,-0.2764637531148046, , , , , , , , , , , , , , , , , 
-4.0,-3.7,3.437421373078363,-0.6423780121368468,-0.5924918653314701,-0.25806004277712397, , , , , , , , , , , , , , , , ,3.4548213150337297,-0.5403242902775819,-0.2760917460786573, , , , , , , , , , , , , , , , , 
-4.0,-3.6,3.3445188571498665,-0.6459059946388795,-0.5896398475265096,-0.25862082591142255, , , , , , , , , , , , , , , , ,3.3614485378598085,-0.5415576547693113,-0.2757145286535373, , , , , , , , , , , , , , , , , 
-4.0,-3.5,3.251616622348679,-0.6492669199812733,-0.5870026625980369,-0.2591963648033957, , , , , , , , , , , , , , , , ,3.268076044555248,-0.542829117896653,-0.2753318082640045, , , , , , , , , , , , , , , , , 
-4.0,-3.4,3.1587147932791586,-0.6525258261798714,-0.58452100747637,-0.25978746376791434, , , , , , , , , , , , , , , , ,3.17470396093971,-0.5441414645689374,-0.27494371632510345, , , , , , , , , , , , , , , , , 
-4.0,-3.3,3.0658135560557076,-0.6557286368696216,-0.5821557578681011,-0.26039498360197655, , , , , , , , , , , , , , , , ,3.081332474942873,-0.5454978337718035,-0.27454961300293224, , , , , , , , , , , , , , , , , 
-4.0,-3.2,2.9729131919839302,-0.6589110338282155,-0.5798794159457994,-0.26101968216233273, , , , , , , , , , , , , , , , ,2.987961870613918,-0.5469012293264647,-0.27414942515867946, , , , , , , , , , , , , , , , , 
-4.0,-3.1,2.880014131630262,-0.6621032438043679,-0.577671570151095,-0.26166283863383466, , , , , , , , , , , , , , , , ,2.894592582718518,-0.5483555564595401,-0.27374268517893674, , , , , , , , , , , , , , , , , 
-4.0,-3.0,2.787117042885336,-0.6653330195100463,-0.5755166521411114,-0.2623251450122374, , , , , , , , , , , , , , , , ,2.801225285660768,-0.5498643411296662,-0.2733304114926981, , , , , , , , , , , , , , , , , 
-4.0,-2.9,2.6942229766070462,-0.6686278988307441,-0.5734018513532806,-0.26300808883898763, , , , , , , , , , , , , , , , ,2.707861040545929,-0.5514325983972141,-0.2729115370699818, , , , , , , , , , , , , , , , , 
-4.0,-2.8,2.601333611440223,-0.6720169842459472,-0.5713169660435926,-0.26371251839628784, , , , , , , , , , , , , , , , ,2.614501542386039,-0.5530661020743287,-0.27248498387561754, , , , , , , , , , , , , , , , , 
-4.0,-2.7,2.5084516725092305,-0.6755331639279445,-0.5692530902410115,-0.264440001699086, , , , , , , , , , , , , , , , ,2.5211495428707544,-0.5547704134126861,-0.27205176773558043, , , , , , , , , , , , , , , , , 
-4.0,-2.6,2.415581660677432,-0.6792156946065548,-0.5672025547379589,-0.2651920743802539, , , , , , , , , , , , , , , , ,2.4278095867252585,-0.556552864565604,-0.2716115821243823, , , , , , , , , , , , , , , , , 
-4.0,-2.5,2.322731147477009,-0.683114050297913,-0.5651586194987224,-0.2659701016558763, , , , , , , , , , , , , , , , ,2.3344893192298772,-0.558422228468606,-0.2711629812988659, , , , , , , , , , , , , , , , , 
-4.0,-2.4,2.229913121388471,-0.6872941497920277,-0.5631149313453765,-0.2667760071316734, , , , , , , , , , , , , , , , ,2.2412018552675748,-0.5603883487639867,-0.27070698589010983, , , , , , , , , , , , , , , , , 
-4.0,-2.3,2.137150328377311,-0.6918491009921358,-0.5610657519215558,-0.26761188214644355, , , , , , , , , , , , , , , , ,2.147970161847365,-0.5624637946529164,-0.270242044026919, , , , , , , , , , , , , , , , , 
-4.0,-2.2,2.044483469719138,-0.6969202754652066,-0.5590055220941694,-0.26847961581580887, , , , , , , , , , , , , , , , ,2.054835334798978,-0.7308628703935255,-0.7126317734713077,-0.5646626809599646,-0.26976936804329454, , , , , , , , , , , , , , , 
-4.0,-2.1,1.9519869841261888,-0.7027432530226351,-0.5569287380728163,-0.269381839930561, , , , , , , , , , , , , , , , ,1.9618725312955791,-0.7487845444833461,-0.6982141239393386,-0.5670038671300708,-0.2692877725399047,0.2175788824344488,0.18042998932092982, , , , , , , , , , , , , 
-4.0,-2.0,1.8597998735528973,-0.7097685253381639,-0.5548301341680089,-0.2703212164157957, , , , , , , , , , , , , , , , ,1.8692220843784737,-0.761912876964622,-0.6895888217623622,-0.56951130499321,-0.268796687077678,0.22329155644723347,0.1693753242132466, , , , , , , , , , , , , 
-4.0,-1.9,1.7681861048509386,-0.7190880417342761,-0.5527042539502707,-0.27130078068591384, , , , , , , , , , , , , , , , ,1.7771504521205177,-0.7750658044702299,-0.6824657674819861,-0.5722157003519525,-0.26829593564573,0.2273429283803864,0.15975719224431495, , , , , , , , , , , , , 
