a,b,15 roots, , , , , , , , , , , , , , , , , , , ,16 roots, , , , , , , , , , , , , , , , , , , 
-4.0,-4.0,4.450308061274091,-0.1524123514810285, , , , , , , , , , , , , , , , , , ,4.472344115432663, , , , , , , , , , , , , , , , , , , 
-4.0,-3.9,4.3691107051421305,-0.15878494799858137, , , , , , , , , , , , , , , , , , ,4.390818496035806, , , , , , , , , , , , , , , , , , , 
-4.0,-3.8,4.288257813418959,-0.16581870229431994, , , , , , , , , , , , , , , , , , ,4.309639751243881, , , , , , , , , , , , , , , , , , , 
-4.0,-3.7,4.207761037685808,-0.17362940607918417, , , , , , , , , , , , , , , , , , ,4.228819609392238, , , , , , , , , , , , , , , , , , , 
-4.0,-3.6,4.127632372359015,-0.18236047034992905, , , , , , , , , , , , , , , , , , ,4.14837014364914, , , , , , , , , , , , , , , , , , , 
-4.0,-3.5,4.047884152855246,-0.1921902650596815, , , , , , , , , , , , , , , , , , ,4.068303770150692, , , , , , , , , , , , , , , , , , , 
-4.0,-3.4,3.968529051965342,-0.20334071137947182, , , , , , , , , , , , , , , , , , ,3.9886332443327204, , , , , , , , , , , , , , , , , , , 
-4.0,-3.3,3.88958007423444,-0.21608609360036776, , , , , , , , , , , , , , , , , , ,3.9093716552566313, , , , , , , , , , , , , , , , , , , 
-4.0,-3.2,3.811050548138468,-0.23075912465628906, , , , , , , , , , , , , , , , , , ,3.830532417717756, , , , , , , , , , , , , , , , , , , 
-4.0,-3.1,3.732954115840454,-0.24774761898904743, , , , , , , , , , , , , , , , , , ,3.7521292619190154, , , , , , , , , , , , , , , , , , , 
-4.0,-3.0,3.655304720306815,-0.26746982218900667, , , , , , , , , , , , , , , , , , ,3.674176220488666, , , , , , , , , , , , , , , , , , , 
-4.0,-2.9,3.5781165895628964,-0.2903133796125139, , , , , , , , , , , , , , , , , , ,3.596687612620593, , , , , , , , , , , , , , , , , , , 
-4.0,-2.8,3.5014042178699496,-0.3165335665487596, , , , , , , , , , , , , , , , , , ,3.5196780251182735,-0.2435563627766355,-0.22402228334955737, , , , , , , , , , , , , , , , , 
-4.0,-2.7,3.425182343613274,-0.3461428051562693, , , , , , , , , , , , , , , , , , ,3.443162290131126,-0.3211954265662341,-0.17207149701868193, , , , , , , , , , , , , , , , , 
-4.0,-2.6,3.349465923703028,-0.37886491555908336, , , , , , , , , , , , , , , , , , ,3.3671554593843784,-0.36911370821597933,-0.15147631488370988, , , , , , , , , , , , , , , , , 
-4.0,-2.5,3.2742701043077123,-0.4142077882732986, , , , , , , , , , , , , , , , , , ,3.2916727747211443,-0.41263870871815755,-0.1368474282881929, , , , , , , , , , , , , , , , , 
-4.0,-2.4,3.1996101877636587,-0.4516147189024421, , , , , , , , , , , , , , , , , , ,3.2167296348002323,-0.45470513450877714,-0.1251695424530753, , , , , , , , , , , , , , , , , 
-4.0,-2.3,3.1255015955356242,-0.4905966508582527, , , , , , , , , , , , , , , , , , ,3.1423415578239267,-0.4963660947346958,-0.11529941326643112, , , , , , , , , , , , , , , , , 
-4.0,-2.2,3.05195982714103,-0.5307905181162468, , , , , , , , , , , , , , , , , , ,3.0685241402086367,-0.5381040655606596,-0.10666333511409558, , , , , , , , , , , , , , , , , 
-4.0,-2.1,2.9790004149971203,-0.5719564576783487, , , , , , , , , , , , , , , , , , ,2.995293011157549,-0.5801669984403041,-0.09892745525106574, , , , , , , , , , , , , , , , , 
-4.0,-2.0,2.906638875203188,-0.6139490942166612, , , , , , , , , , , , , , , , , , ,2.9226637831480504,-0.6226917016431368,-0.09187837849099333, , , , , , , , , , , , , , , , , 
-4.0,-1.9,2.8348906543318755,-0.6566868246492561, , , , , , , , , , , , , , , , , , ,2.8506519984088206,-0.6657583415106988,-0.08537046452915005, , , , , , , , , , , , , , , , , 
-4.0,-1.7999999999999998,2.7637710723722475,-0.7001280255017635, , , , , , , , , , , , , , , , , , ,2.7792730715300653,-0.7094171038033292,-0.0792993500475071, , , , , , , , , , , , , , , , , 
-4.0,-1.7000000000000002,2.69329526204226,-0.7442550187153841, , , , , , , , , , , , , , , , , , ,2.7085422284264578,-0.7537019666004612,-0.0735873589852221, , , , , , , , , , , , , , , , , 
-4.0,-1.6,2.623478104769601,-0.7890640162722766, , , , , , , , , , , , , , , , , , ,2.6384744419533375,-0.7986380044842826,-0.06817488314372595, , , , , , , , , , , , , , , , , 
-4.0,-1.5,2.554334163724863,-0.8345590579204113, , , , , , , , , , , , , , , , , , ,2.569084364562296,-0.8442452968085515,-0.0630150037081143, , , , , , , , , , , , , , , , , 
-4.0,-1.4,2.4858776143781167,-0.8807484333177374, , , , , , , , , , , , , , , , , , ,2.500386258470215,-0.8905410120537636,-0.05806998330292068, , , , , , , , , , , , , , , , , 
-4.0,-1.2999999999999998,2.418122173137978,-0.9276425904868492, , , , , , , , , , , , , , , , , , ,2.4323939239034207,-0.9375405028832277,-0.053308892613182356, , , , , , , , , , , , , , , , , 
-4.0,-1.2000000000000002,2.3510810247171245,-0.9752529129412474, , , , , , , , , , , , , , , , , , ,2.3651206260645243,-0.9852578633202912,-0.04870595400685972, , , , , , , , , , , , , , , , , 
-4.0,-1.1,2.2847667489482495,-1.023590997119398, , , , , , , , , , , , , , , , , , ,2.298579021549395,-1.0337061941520143,-0.044239354157763276, , , , , , , , , , , , , , , , , 
-4.0,-1.0,2.2191912478460707,-1.072668215349629, , , , , , , , , , , , , , , , , , ,2.2327810850139285,-1.0828977110679354,-0.03989037254705684, , , , , , , , , , , , , , , , , 
-4.0,-0.8999999999999999,2.1543656737714354,-1.1224954410764407, , , , , , , , , , , , , , , , , , ,2.167738036950716,-1.13284376908921,-0.035642728085126696, , , , , , , , , , , , , , , , , 
-4.0,-0.7999999999999998,2.0903003595994463,-1.1730828665067166, , , , , , , , , , , , , , , , , , ,2.1034602734816565,-1.1835548435611518,-0.031482079585178, , , , , , , , , , , , , , , , , 
-4.0,-0.7000000000000002,2.02700475182227,-1.2244398736092224, , , , , , , , , , , , , , , , , , ,2.039957299101455,-1.23504048986054,-0.027395636718153107, , , , , , , , , , , , , , , , , 
-4.0,-0.6000000000000001,1.9644873475261109,-1.2765749369454007, , , , , , , , , , , , , , , , , , ,1.9772376633158009,-1.2873092941374427,-0.023371851476370695, , , , , , , , , , , , , , , , , 
-4.0,-0.5,1.9027556361695246,-1.3294955467207326, , , , , , , , , , , , , , , , , , ,1.9153089021049885,-1.340368822090024,-0.01940016896499467, , , , , , , , , , , , , , , , , 
