a,b,15 roots, , , , , , , , , , , , , , , , , , , ,16 roots, , , , , , , , , , , , , , , , , , , 
-4.0,-4.0,3.718535567104917, , , , , , , , , , , , , , , , , , , ,3.7371590890397357, , , , , , , , , , , , , , , , , , , 
-4.0,-3.9,3.6257398597460604, , , , , , , , , , , , , , , , , , , ,3.6438990849390764, , , , , , , , , , , , , , , , , , , 
-4.0,-3.8,3.5329726494218074, , , , , , , , , , , , , , , , , , , ,3.5506677971258602, , , , , , , , , , , , , , , , , , , 
-4.0,-3.7,3.440240472581531, , , , , , , , , , , , , , , , , , , ,3.457471812245653, , , , , , , , , , , , , , , , , , , 
-4.0,-3.6,3.347551589822448, , , , , , , , , , , , , , , , , , , ,3.364319454282097, , , , , , , , , , , , , , , , , , , 
-4.0,-3.5,3.2549165002027136, , , , , , , , , , , , , , , , , , , ,3.2712213027756665, , , , , , , , , , , , , , , , , , , 
-4.0,-3.4,3.1623486259761506, , , , , , , , , , , , , , , , , , , ,3.1781908827404988, , , , , , , , , , , , , , , , , , , 
-4.0,-3.3,3.0698652290703383, , , , , , , , , , , , , , , , , , , ,3.085245588047758, , , , , , , , , , , , , , , , , , , 
-4.0,-3.2,2.977488643765193, , , , , , , , , , , , , , , , , , , ,2.9924079233397185, , , , , , , , , , , , , , , , , , , 
-4.0,-3.1,2.8852479416996504, , , , , , , , , , , , , , , , , , , ,2.899707181420353, , , , , , , , , , , , , , , , , , , 
-4.0,-3.0,2.7931811880214212, , , , , , , , , , , , , , , , , , , ,2.8071817160262755, , , , , , , , , , , , , , , , , , , 
-4.0,-2.9,2.7013385034621926, , , , , , , , , , , , , , , , , , , ,2.7148820261778583, , , , , , , , , , , , , , , , , , , 
-4.0,-2.8,2.609786216934549, , , , , , , , , , , , , , , , , , , ,2.6228749384785894, , , , , , , , , , , , , , , , , , , 
-4.0,-2.7,2.5186124723012413, , , , , , , , , , , , , , , , , , , ,2.531249253072517, , , , , , , , , , , , , , , , , , , 
-4.0,-2.6,2.427934724088342, , , , , , , , , , , , , , , , , , , ,2.4401232900826177, , , , , , , , , , , , , , , , , , , 
-4.0,-2.5,2.3379095759667154, , , , , , , , , , , , , , , , , , , ,2.349654791630606, , , , , , , , , , , , , , , , , , , 
-4.0,-2.4,2.2487452868696334, , , , , , , , , , , , , , , , , , , ,2.2600535031619264, , , , , , , , , , , , , , , , , , , 
-4.0,-2.3,2.160716810190223, , , , , , , , , , , , , , , , , , , ,2.171596292927173, , , , , , , , , , , , , , , , , , , 
-4.0,-2.2,2.0741821472789326, , , , , , , , , , , , , , , , , , , ,2.084643574137193, , , , , , , , , , , , , , , , , , , 
-4.0,-2.1,1.9895967355686035, , , , , , , , , , , , , , , , , , , ,1.999653718148037, , , , , , , , , , , , , , , , , , , 
-4.0,-2.0,1.907519439058945, , , , , , , , , , , , , , , , , , , ,1.917188978148511, , , , , , , , , , , , , , , , , , , 
-4.0,-1.9,1.8286003134619966, , , , , , , , , , , , , , , , , , , ,1.8379030438811688, , , , , , , , , , , , , , , , , , , 
-4.0,-1.7999999999999998,1.7535394577304693, , , , , , , , , , , , , , , , , , , ,1.7624995198627649, , , , , , , , , , , , , , , , , , , 
-4.0,-1.7000000000000002,1.6830124077902593, , , , , , , , , , , , , , , , , , , ,1.6916568453881589, , , , , , , , , , , , , , , , , , , 
-4.0,-1.6,1.6175729334272695, , , , , , , , , , , , , , , , , , , ,1.6259306749442253, , , , , , , , , , , , , , , , , , , 
-4.0,-1.5,1.5575621736720766, , , , , , , , , , , , , , , , , , , ,1.5656628309078555, , , , , , , , , , , , , , , , , , , 
-4.0,-1.4,1.5030584866018004, , , , , , , , , , , , , , , , , , , ,1.5109312696742796, , , , , , , , , , , , , , , , , , , 
-4.0,-1.2999999999999998,1.4538858647159536, , , , , , , , , , , , , , , , , , , ,1.461558816731881, , , , , , , , , , , , , , , , , , , 
-4.0,-1.2000000000000002,1.4096710268938597, , , , , , , , , , , , , , , , , , , ,1.4171706161624298, , , , , , , , , , , , , , , , , , , 
-4.0,-1.1,1.3699215042784636, , , , , , , , , , , , , , , , , , , ,1.3772724979443391, , , , , , , , , , , , , , , , , , , 
-4.0,-1.0,1.3340982768758451, , , , , , , , , , , , , , , , , , , ,1.3413237927620774, , , , , , , , , , , , , , , , , , , 
-4.0,-0.8999999999999999,1.3016689356559958, , , , , , , , , , , , , , , , , , , ,1.3087905915002203,0.1620795580077069,0.14797445255862612, , , , , , , , , , , , , , , , , 
-4.0,-0.7999999999999998,1.2721393656888562, , , , , , , , , , , , , , , , , , , ,1.279177475394894,0.1824326404503701,0.11972984492384543, , , , , , , , , , , , , , , , , 
-4.0,-0.7000000000000002,1.2450683518661663, , , , , , , , , , , , , , , , , , , ,1.2520421401714281,0.19167716560965212,0.10209251985717734, , , , , , , , , , , , , , , , , 
-4.0,-0.6000000000000001,1.2200709952686262, , , , , , , , , , , , , , , , , , , ,1.2269988149659212,0.19837760638864763,0.08648773229621987, , , , , , , , , , , , , , , , , 
-4.0,-0.5,1.1968158645664742, , , , , , , , , , , , , , , , , , , ,1.203715407708693,0.20377591202921247,0.07167921805970924, , , , , , , , , , , , , , , , , 
-4.0,-0.3999999999999999,1.175019229833813, , , , , , , , , , , , , , , , , , , ,1.1819077288212263,0.2083558425311135,0.05720763491391592, , , , , , , , , , , , , , , , , 
-4.0,-0.2999999999999998,1.1544383667494336, , , , , , , , , , , , , , , , , , , ,1.1613327841507535,0.21236438707745386,0.04286861219963569, , , , , , , , , , , , , , , , , 
-4.0,-0.20000000000000018,1.1348649800975599, , , , , , , , , , , , , , , , , , , ,1.1417821880708479,0.2159471803267276,0.02857243407913592, , , , , , , , , , , , , , , , , 
-4.0,-0.10000000000000009,1.1161192227666816, , , , , , , , , , , , , , , , , , , ,1.1230761743303035,0.21919830650816854,0.01428572999355832, , , , , , , , , , , , , , , , , 
-4.0,0.0,1.0980444674749914, , , , , , , , , , , , , , , , , , , ,1.1050583628348445,0.2221825387204697,0.0, , , , , , , , , , , , , , , , , 
-4.0,0.09999999999999964,1.0805028255694824, , , , , , , , , , , , , , , , , , , ,1.0875912773958467,0.2249466182584967,-0.0142856985780771, , , , , , , , , , , , , , , , , 
-4.0,0.20000000000000018,1.0633713330622327,0.40622537374503276,0.3552620962645966, , , , , , , , , , , , , , , , , ,1.0705525351468597,0.22752552053756248,-0.028570423488183398, , , , , , , , , , , , , , , , , 
-4.0,0.2999999999999998,1.0465386969788273,0.42201951611719835,0.34169691513593975, , , , , , , , , , , , , , , , , ,1.0538316011386213,0.22994618361514918,-0.04284571023013134, , , , , , , , , , , , , , , , , 
-4.0,0.40000000000000036,1.0299024912306773,0.4334999656447202,0.3324690788250548, , , , , , , , , , , , , , , , , ,1.0373269974605086,0.23222984969267263,-0.05707894878004185, , , , , , , , , , , , , , , , , 
-4.0,0.5,1.013366697836871,0.44302681135733446,0.3252221418026464, , , , , , , , , , , , , , , , , ,1.020943861673081,0.2343936009368766,-0.07118805519155624, , , , , , , , , , , , , , , , , 
-4.0,0.5999999999999996,0.9968395002903803,0.4513801418718567,0.31918045223782787, , , , , , , , , , , , , , , , , ,1.004591756845166,0.2364514036504946,-0.08501650298908592, , , , , , , , , , , , , , , , , 
-4.0,0.7000000000000002,0.9802312479141702,0.4589386585968773,0.3139705276726973, , , , , , , , , , , , , , , , , ,0.9881826403641101,0.2384148398956701,-0.09832965643915656, , , , , , , , , , , , , , , , , 
-4.0,0.7999999999999998,0.9634525164156484,0.46592301432539207,0.30937775944985607, , , , , , , , , , , , , , , , , ,0.9716288978412737,0.24029363346485982,-0.11085605661085011, , , , , , , , , , , , , , , , , 
-4.0,0.9000000000000004,0.946412165322314,0.4724771916037637,0.30526512922755905, , , , , , , , , , , , , , , , , ,0.9548413434195518,0.2420960364788667,-0.1223673262692427, , , , , , , , , , , , , , , , , 
-4.0,1.0,0.9290151640283185,0.47870309461321586,0.30153876771916993, , , , , , , , , , , , , , , , , ,0.9377270989930857,0.2438291190987466,-0.13274597557581372, , , , , , , , , , , , , , , , , 
-4.0,1.0999999999999996,0.911159566943848,0.4846776922139404,0.29813102844014316, , , , , , , , , , , , , , , , , ,0.9201873685899485,0.24549899034399414,-0.1419962500139248, , , , , , , , , , , , , , , , , 
-4.0,1.2000000000000002,0.8927311535066338,0.4904625397483449,0.2949912675231011, , , , , , , , , , , , , , , , , ,0.9021155140240695,0.247110968970646,-0.15020721686277771, , , , , , , , , , , , , , , , , 
-4.0,1.2999999999999998,0.873592977190915,0.4961096153295941,0.2920804241425493, , , , , , , , , , , , , , , , , ,0.8833968304679533,0.24866971749270605,-0.1575059670524531, , , , , , , , , , , , , , , , , 
-4.0,1.4000000000000004,0.8535668914966468,0.5016652781610806,0.2893676422292406, , , , , , , , , , , , , , , , , ,0.8639130284245891,0.25017934858474006,-0.1640245112975585, , , , , , , , , , , , , , , , , 
-4.0,1.5,0.8324111954547718,0.5071732959734792,0.28682806379458053, , , , , , , , , , , , , , , , , ,0.8435544230627676,0.2516435104714623,-0.16988319126050277, , , , , , , , , , , , , , , , , 
-4.0,1.5999999999999996,0.8098327260780043,0.5126775316915646,-0.39189110177518616,-0.3367967066282707,0.2844413315116517, , , , , , , , , , , , , , , ,0.8222320260547283,0.25306545616948684,-0.17518506326512884, , , , , , , , , , , , , , , , , 
-4.0,1.7000000000000002,0.785679287333542,0.5182247682994778,-0.40585907787090153,-0.3258927767894087,0.2821905398404423, , , , , , , , , , , , , , , ,0.7998412659977258,0.25444810010716234,-0.18001577746858805, , , , , , , , , , , , , , , , , 
-4.0,1.7999999999999998,0.7605619037248919,0.5238682173939652,-0.416584572978015,-0.31816182098169177,0.2800614804053742, , , , , , , , , , , , , , , ,0.7760419198648488,0.2557940648516265,-0.18444561671223877, , , , , , , , , , , , , , , , , 
