a,b,15 roots, , , , , , , , , , , , , , , , , , , ,16 roots, , , , , , , , , , , , , , , , , , , 
-4.0,-4.0,3.77581033497711,-0.2316993332524604, , , , , , , , , , , , , , , , , , ,3.7943667667171663,-0.3642105472420738,-0.31350913953525755, , , , , , , , , , , , , , , , , 
-4.0,-3.9,3.6868467994646474,-0.23378800143088418, , , , , , , , , , , , , , , , , , ,3.7049747031373172,-0.37713775310453623,-0.303823978058925, , , , , , , , , , , , , , , , , 
-4.0,-3.8,3.598272629389296,-0.2359638792132024, , , , , , , , , , , , , , , , , , ,3.6159745436074227,-0.387945535735441,-0.2964869126118651, , , , , , , , , , , , , , , , , 
-4.0,-3.7,3.510131771790725,-0.238234352682148, , , , , , , , , , , , , , , , , , ,3.5274105188664846,-0.39784613049526174,-0.2903149147119427, , , , , , , , , , , , , , , , , 
-4.0,-3.6,3.422473450096561,-0.24060782715918042, , , , , , , , , , , , , , , , , , ,3.439332169132336,-0.40732299046419995,-0.28485945461046075, , , , , , , , , , , , , , , , , 
-4.0,-3.5,3.335352724309649,-0.24309393177547062, , , , , , , , , , , , , , , , , , ,3.3517949075198157,-0.4166454399481355,-0.2798934006585936, , , , , , , , , , , , , , , , , 
-4.0,-3.4,3.2488310661661153,-0.24570377976310054, , , , , , , , , , , , , , , , , , ,3.264860598425808,-0.42599888627022453,-0.27528290942149797, , , , , , , , , , , , , , , , , 
-4.0,-3.3,3.1629769293538263,-0.24845030417009029, , , , , , , , , , , , , , , , , , ,3.1785981308299514,-0.43553399693494693,-0.27094114027876354, , , , , , , , , , , , , , , , , 
-4.0,-3.2,3.0778662860729886,-0.25134869749088684, , , , , , , , , , , , , , , , , , ,3.0930839576023255,-0.4453912115596319,-0.2668077912174457, , , , , , , , , , , , , , , , , 
-4.0,-3.1,2.9935830904427663,-0.2544169973428258, , , , , , , , , , , , , , , , , , ,3.008402561074832,-0.4557168290470801,-0.26283877942538064, , , , , , , , , , , , , , , , , 
-4.0,-3.0,2.910219616723361,-0.2576768820825411, , , , , , , , , , , , , , , , , , ,2.9246467925386384,-0.4666770868621886,-0.25900052555666514, , , , , , , , , , , , , , , , , 
-4.0,-2.9,2.827876606712856,-0.2611547760978988, , , , , , , , , , , , , , , , , , ,2.8419180196662888,-0.47847387077286946,-0.2552665544410861, , , , , , , , , , , , , , , , , 
-4.0,-2.8,2.7466631473668413,-0.26488342572069445, , , , , , , , , , , , , , , , , , ,2.760326002505211,-0.4913651134265891,-0.25161535587043204, , , , , , , , , , , , , , , , , 
-4.0,-2.7,2.6666961889483303,-0.2689042157447596, , , , , , , , , , , , , , , , , , ,2.679988407941085,-0.5056929841518963,-0.24802897378772729, , , , , , , , , , , , , , , , , 
-4.0,-2.6,2.5880996091480064,-0.2732707006802898, , , , , , , , , , , , , , , , , , ,2.6010298677015693,-0.521921737919147,-0.24449203733069966, , , , , , , , , , , , , , , , , 
-4.0,-2.5,2.5110027338351038,-0.2780542305410248, , , , , , , , , , , , , , , , , , ,2.5235804902974075,-0.5406782543651384,-0.24099107032614495, , , , , , , , , , , , , , , , , 
-4.0,-2.4,2.4355382450292393,-0.2833534179674018, , , , , , , , , , , , , , , , , , ,2.4477737574132292,-0.5627510363312154,-0.23751398144455163, , , , , , , , , , , , , , , , , 
-4.0,-2.3,2.3618394452850624,-0.28931122389403513, , , , , , , , , , , , , , , , , , ,2.373743774126835,-0.5888969853407147,-0.23404967389605894, , , , , , , , , , , , , , , , , 
-4.0,-2.2,2.29003690662495,-0.587314159819491,-0.5174073658173285,-0.2961487945526369, , , , , , , , , , , , , , , , ,2.301621901602446,-0.6192135786960926,-0.23058773483950853, , , , , , , , , , , , , , , , , 
-4.0,-2.1,2.220254608883601,-0.6388743371778681,-0.47466671163516083,-0.30424180955779484, , , , , , , , , , , , , , , , ,2.2315328779732138,-0.6524104773030858,-0.22711817737949594, , , , , , , , , , , , , , , , , 
