a,b,15 roots, , , , , , , , , , , , , , , , , , , ,16 roots, , , , , , , , , , , , , , , , , , , 
-4.0,-4.0,3.717393404463227,-0.2524757080365164, , , , , , , , , , , , , , , , , , ,3.7360725440232594,-0.5107530928187581,-0.27901589193305937, , , , , , , , , , , , , , , , , 
-4.0,-3.9,3.6245070713395147,-0.2532864480721503, , , , , , , , , , , , , , , , , , ,3.6427196262038164,-0.5127194940706999,-0.2783115180454366, , , , , , , , , , , , , , , , , 
-4.0,-3.8,3.531630513221605,-0.2541183156940816, , , , , , , , , , , , , , , , , , ,3.5493765627276916,-0.5147566795996348,-0.2775971006832442, , , , , , , , , , , , , , , , , 
-4.0,-3.7,3.438766301349806,-0.2549723651596057, , , , , , , , , , , , , , , , , , ,3.456045945689835,-0.5168706671540501,-0.27687225908252777, , , , , , , , , , , , , , , , , 
-4.0,-3.6,3.3459177790012133,-0.2558497297856249, , , , , , , , , , , , , , , , , , ,3.3627311454749043,-0.5190683333374144,-0.2761365913554512, , , , , , , , , , , , , , , , , 
-4.0,-3.5,3.253089323193194,-0.25675162993974093, , , , , , , , , , , , , , , , , , ,3.269436574574552,-0.5213575942784507,-0.27538967294198285, , , , , , , , , , , , , , , , , 
-4.0,-3.4,3.1602867054855173,-0.2576793821828122, , , , , , , , , , , , , , , , , , ,3.176168051299577,-0.5237476385492419,-0.2746310547367199, , , , , , , , , , , , , , , , , 
-4.0,-3.3,3.0675175933211993,-0.2586344094573175, , , , , , , , , , , , , , , , , , ,3.082933305156639,-0.5262492312786712,-0.2738602610986606, , , , , , , , , , , , , , , , , 
-4.0,-3.2,2.974792252207916,-0.259618252847533, , , , , , , , , , , , , , , , , , ,2.98974268466869,-0.5288751182264179,-0.27307678764333293, , , , , , , , , , , , , , , , , 
-4.0,-3.1,2.8821245370462347,-0.2606325848332019, , , , , , , , , , , , , , , , , , ,2.8966101566384856,-0.5316405730126073,-0.2722800987688638, , , , , , , , , , , , , , , , , 
-4.0,-3.0,2.7895333025993354,-0.26167922456865406, , , , , , , , , , , , , , , , , , ,2.803554727860014,-0.5345641544254557,-0.2714696249908247, , , , , , , , , , , , , , , , , 
-4.0,-2.9,2.6970444251158856,-0.26276015542816306, , , , , , , , , , , , , , , , , , ,2.710602482760662,-0.5376687814285317,-0.2706447598224137, , , , , , , , , , , , , , , , , 
-4.0,-2.8,2.6046937188384702,-0.26387754516036743, , , , , , , , , , , , , , , , , , ,2.617789522837349,-0.5409833044112963,-0.26980485645265656, , , , , , , , , , , , , , , , , 
-4.0,-2.7,2.5125311648115263,-0.6299916844715032,-0.5846738281400451,-0.26503376933181044, , , , , , , , , , , , , , , , ,2.5251662283460927,-0.5445448841300028,-0.26894922402747273, , , , , , , , , , , , , , , , , 
