a,b,15 roots, , , , , , , , , , , , , , , , , , , ,16 roots, , , , , , , , , , , , , , , , , , , 
-4.0,-4.0,3.716869432366341, , , , , , , , , , , , , , , , , , , ,3.7355929347637717, , , , , , , , , , , , , , , , , , , 
-4.0,-3.9,3.6239614857660714, , , , , , , , , , , , , , , , , , , ,3.6422170182521896, , , , , , , , , , , , , , , , , , , 
-4.0,-3.8,3.531056760732703, , , , , , , , , , , , , , , , , , , ,3.5488443507905125, , , , , , , , , , , , , , , , , , , 
-4.0,-3.7,3.438156213446585, , , , , , , , , , , , , , , , , , , ,3.4554758967142436, , , , , , , , , , , , , , , , , , , 
-4.0,-3.6,3.3452611214112573, , , , , , , , , , , , , , , , , , , ,3.3621129444212623, , , , , , , , , , , , , , , , , , , 
-4.0,-3.5,3.2523732047291722, , , , , , , , , , , , , , , , , , , ,3.268757228680344, , , , , , , , , , , , , , , , , , , 
-4.0,-3.4,3.1594947984185353, , , , , , , , , , , , , , , , , , , ,3.175411104414631, , , , , , , , , , , , , , , , , , , 
-4.0,-3.3,3.0666290995588437, , , , , , , , , , , , , , , , , , , ,3.0820777959492025, , , , , , , , , , , , , , , , , , , 
-4.0,-3.2,2.9737805252367213, , , , , , , , , , , , , , , , , , , ,2.9887617579981316, , , , , , , , , , , , , , , , , , , 
-4.0,-3.1,2.8809552362397013, , , , , , , , , , , , , , , , , , , ,2.8954692038016607, , , , , , , , , , , , , , , , , , , 
-4.0,-3.0,2.78816191127769, , , , , , , , , , , , , , , , , , , ,2.8022088859043595, , , , , , , , , , , , , , , , , , , 
-4.0,-2.9,2.695412903810432, , , , , , , , , , , , , , , , , , , ,2.708993262754123, , , , , , , , , , , , , , , , , , , 
-4.0,-2.8,2.602725989067924, , , , , , , , , , , , , , , , , , , ,2.6158402604257835, , , , , , , , , , , , , , , , , , , 
-4.0,-2.7,2.5101270298871046, , , , , , , , , , , , , , , , , , , ,2.52277596077861, , , , , , , , , , , , , , , , , , , 
-4.0,-2.6,2.4176540838433582, , , , , , , , , , , , , , , , , , , ,2.429838742723167, , , , , , , , , , , , , , , , , , , 
-4.0,-2.5,2.325363781719713, , , , , , , , , , , , , , , , , , , ,2.3370857131337535, , , , , , , , , , , , , , , , , , , 
-4.0,-2.4,2.2333412831170305, , , , , , , , , , , , , , , , , , , ,2.2446027430047435, , , , , , , , , , , , , , , , , , , 
-4.0,-2.3,2.1417158099547944, , , , , , , , , , , , , , , , , , , ,2.1525201235675118, , , , , , , , , , , , , , , , , , , 
-4.0,-2.2,2.0506846462954766, , , , , , , , , , , , , , , , , , , ,2.0610367483118175, , , , , , , , , , , , , , , , , , , 
-4.0,-2.1,1.960549237877617, , , , , , , , , , , , , , , , , , , ,1.9704564692892808, , , , , , , , , , , , , , , , , , , 
-4.0,-2.0,1.8717663944518268, , , , , , , , , , , , , , , , , , , ,1.8812396226670534, , , , , , , , , , , , , , , , , , , 
-4.0,-1.9,1.7850123569152787, , , , , , , , , , , , , , , , , , , ,1.794067404763128, , , , , , , , , , , , , , , , , , , 
-4.0,-1.7999999999999998,1.701241672575451, , , , , , , , , , , , , , , , , , , ,1.709900809665749, , , , , , , , , , , , , , , , , , , 
-4.0,-1.7000000000000002,1.621692353715662, , , , , , , , , , , , , , , , , , , ,1.6299851978824504, , , , , , , , , , , , , , , , , , , 
-4.0,-1.6,1.547761033510854, , , , , , , , , , , , , , , , , , , ,1.5557239120791089, , , , , , , , , , , , , , , , , , , 
